Household ID,Primary Member #,Dependent Count,Home Address
hh_030,mbr_003,2,"416 Lauren Light, South Eric, PA 28314"
hh_061,mbr_006,2,"88778 Delacruz Terrace, West Kathleenmouth, MA 85378"
hh_070,mbr_007,2,"840 Courtney Coves Apt. 642, New Richard, MN 95338"
hh_041,mbr_009,2,"USS Sparks, FPO AA 92168"
hh_002,mbr_010,2,"067 Lam Extensions, Hineschester, MS 58682"
hh_073,mbr_012,2,"43920 Danielle Lights, East Lorraine, SD 93429"
hh_038,mbr_014,2,"6022 Tracy Place, West Ronaldtown, MS 27485"
hh_049,mbr_015,2,"294 Melissa Lock, Terryberg, IL 44589"
hh_060,mbr_017,2,"99352 Erica Motorway Suite 796, Kellyshire, CO 13958"
hh_064,mbr_018,2,"07257 Bennett Prairie, Aaronville, OK 86483"
hh_050,mbr_020,2,"48295 Catherine Club Apt. 813, New Rebecca, NC 63992"
hh_054,mbr_028,2,"02633 Tyrone Drive Apt. 635, Port Angela, OK 95098"
hh_075,mbr_029,2,"46713 Hernandez Light Apt. 126, North Michaelport, MS 06990"
hh_080,mbr_032,2,"1607 Ramirez Pike, North Maryville, PW 63079"
hh_001,mbr_034,2,"912 Baird Spurs, New Kimberlyport, CT 32038"
hh_074,mbr_035,2,"66407 Moss Hills, Smithfort, RI 82187"
hh_007,mbr_036,2,"Unit 3450 Box 6267, DPO AP 51624"
hh_042,mbr_039,2,"Unit 4106 Box 1000, DPO AA 76069"
hh_011,mbr_041,2,"703 Arnold Street, East Emily, FM 38767"
hh_044,mbr_045,2,"26633 Anne Wall, South Alicia, FM 32839"
hh_052,mbr_047,2,"3669 Lynch Summit, Port Gary, AK 85591"
hh_024,mbr_050,2,"12593 Simmons Mall, Lynnfort, CT 34501"
hh_016,mbr_052,2,"PSC 1089, Box 7943, APO AP 82944"
hh_022,mbr_055,2,"130 Gutierrez Court Suite 631, Deniseburgh, NH 05709"
hh_071,mbr_060,2,"037 Allen Hills, West Timothymouth, IA 55505"
hh_072,mbr_062,2,"6458 Timothy Lake, East Donna, DC 16914"
hh_026,mbr_063,2,"7320 Michelle Shore, East Angelaberg, VT 01323"
hh_019,mbr_066,2,"09679 Martinez Coves Suite 269, South Jennifer, PR 97563"
hh_025,mbr_072,2,"13216 Anderson Parks Apt. 058, Wellsside, NV 37745"
hh_077,mbr_074,2,"330 Wendy Rapids, South Patrickstad, IA 87871"
hh_009,mbr_075,2,"9831 Thompson Mountain Suite 557, Taylorstad, DC 99769"
hh_008,mbr_084,2,"9801 Jones Walk, Lake Johnton, PR 21598"
hh_065,mbr_085,2,"9489 Lydia Shore Apt. 271, Port Josephview, PW 50154"
hh_005,mbr_090,2,"USNV Green, FPO AE 34666"
hh_047,mbr_097,2,"8611 John Stravenue, Lorimouth, MN 50082"
hh_076,mbr_099,2,"42251 Burns Via Suite 217, East Jenniferhaven, SC 05795"
hh_034,mbr_100,2,"442 Patton Meadows, Danielborough, NJ 67310"
hh_085,mbr_103,1,"33475 David Mountains, Morganstad, MS 69802"
hh_003,mbr_104,2,"23773 Sawyer Canyon, West Christopher, KY 70833"
hh_013,mbr_106,2,"591 Cummings Cape, Lake Teresa, CO 46942"
hh_069,mbr_108,2,"280 Tracey Row, North Kimberlyfort, MI 21653"
hh_033,mbr_110,2,"827 Dunlap Forge Suite 668, Sanchezland, ME 83451"
hh_059,mbr_112,2,"4919 Regina Plains Apt. 012, Richardfort, AR 00588"
hh_023,mbr_116,2,"37244 Jason Road Apt. 984, Travismouth, ID 70412"
hh_028,mbr_117,2,"Unit 8930 Box 6830, DPO AP 87786"
hh_062,mbr_121,2,"42046 Christopher Stravenue Suite 245, Matthewburgh, WA 67933"
hh_012,mbr_123,2,"420 Brenda Locks, Michaelmouth, MS 41823"
hh_004,mbr_128,2,"338 Joseph Pine Apt. 978, West Jessica, NV 45565"
hh_068,mbr_129,2,"00928 Gay Hollow Apt. 521, Johnhaven, NE 14709"
hh_036,mbr_134,2,"316 Flores View, Crystalport, MP 57152"
hh_043,mbr_135,2,"27160 Donald Grove, Christopherton, NM 09703"
hh_078,mbr_138,2,"65153 Parker Radial, East Brandi, OH 71805"
hh_029,mbr_139,2,"7250 Harper Pines Suite 513, Port Joseph, NM 78111"
hh_035,mbr_151,2,"334 Joseph Neck, Schneiderville, AR 22572"
hh_079,mbr_155,2,"49959 Scott Cove Suite 268, South Brian, MD 89987"
hh_053,mbr_157,2,"USNV Williams, FPO AA 93952"
hh_031,mbr_160,2,"40756 Matthew Common, West George, KY 38618"
hh_046,mbr_165,2,"49048 Mcpherson Underpass, North Taylorburgh, MD 02050"
hh_032,mbr_167,2,"373 Sarah Meadows Apt. 187, South Josephland, MP 16289"
hh_040,mbr_172,2,"43341 Lopez Lake, Port Eugenestad, LA 11205"
hh_006,mbr_173,2,"4457 Hale Squares Apt. 863, Kevinmouth, IN 67947"
hh_017,mbr_174,2,"6391 Morgan Bridge, Joannastad, IA 99741"
hh_056,mbr_175,2,"7375 Crystal Points, Duffybury, CA 99465"
hh_020,mbr_182,2,"8391 Ward Vista, Smithshire, ID 89091"
hh_015,mbr_185,2,"76018 Mary Ranch Apt. 032, Craigstad, CT 10903"
hh_055,mbr_188,2,"10742 Harris Islands, East Monica, NC 88373"
hh_057,mbr_191,2,"834 Young Bypass Suite 339, North Preston, UT 53092"
hh_084,mbr_195,1,"5965 Ortega Way, Camposport, NM 84347"
hh_083,mbr_209,1,"24464 Joseph Meadows Suite 127, South Steven, AS 85239"
hh_027,mbr_211,2,"7089 Antonio Dale Suite 496, North Jacobfort, VI 33984"
hh_014,mbr_221,2,"764 Alexander Hill Suite 732, South Michaelport, MN 81277"
hh_021,mbr_241,2,"Unit 8568 Box 3807, DPO AP 82693"
hh_048,mbr_243,2,"0914 Chan Cliff, Jonathanburgh, AS 47173"
hh_082,mbr_270,1,"53582 Nicholas Tunnel Suite 241, North Josephport, PW 69628"
hh_018,mbr_279,2,"826 Arnold Cape Suite 798, Stacyton, NV 61347"
hh_081,mbr_291,1,"76458 Morris Island Suite 904, North Scott, GU 26532"
hh_119,mbr_005,1,"95820 Hodges Camp Suite 602, Leeberg, FL 34984"
hh_173,mbr_011,1,"193 Joshua Plain Apt. 687, Jeffreyborough, DC 60153"
hh_114,mbr_016,1,"986 Hernandez Spur Suite 041, Danielsland, CT 26340"
hh_109,mbr_024,1,"24870 Burgess Trace Suite 527, Mannmouth, UT 82100"
hh_136,mbr_025,1,"90815 Victoria Roads, West Michael, NJ 82827"
hh_108,mbr_026,1,"4053 Washington Turnpike, Jennifershire, MI 81953"
hh_106,mbr_033,1,"USS Benson, FPO AP 30104"
hh_121,mbr_037,1,"086 Summers Divide, West Bethanyview, HI 09077"
hh_089,mbr_040,1,"Unit 1100 Box 7684, DPO AP 33334"
hh_164,mbr_051,1,"5628 Dawn Drive, East Pamela, AZ 85496"
hh_122,mbr_053,1,"3219 Butler Knolls Apt. 610, Cookville, ID 89571"
hh_105,mbr_057,1,"5698 Nunez Freeway Suite 665, North Scottburgh, DE 21995"
hh_142,mbr_058,1,"618 Donovan Divide, Lake Nicholasshire, OR 89856"
hh_154,mbr_064,1,"60697 Lopez Road, Michaelbury, AL 93343"
hh_137,mbr_067,1,"3060 Adriana Hill Apt. 175, West Daniel, FM 11261"
hh_140,mbr_068,1,"089 Tyler Mountains, Westton, OR 89275"
hh_153,mbr_073,1,"34224 Ray Motorway, Johnsonbury, KY 72629"
hh_120,mbr_076,1,"2575 Stout Row, Michelleland, MN 37311"
hh_149,mbr_077,1,"549 Evans Flats, Conleychester, CA 64141"
hh_115,mbr_078,1,"99831 Ramirez Crescent, East Michael, ND 80157"
hh_131,mbr_080,1,"67492 William Village, Millerberg, MN 69181"
hh_125,mbr_082,1,"9316 Gardner Fields, Sharonborough, NC 41752"
hh_126,mbr_086,1,"7329 Johnson Fields, Reyesberg, WI 48370"
hh_099,mbr_096,1,"4855 Smith Square, Brownchester, NV 08586"
hh_132,mbr_098,1,"745 Allen Green Suite 816, North Maryhaven, MT 13936"
hh_118,mbr_101,1,"3738 Nolan Meadow Suite 369, New Jennymouth, MD 42635"
hh_094,mbr_105,1,"41343 David Mountains, Port Michaelberg, PA 87929"
hh_156,mbr_111,1,"3228 Cruz Turnpike, Patrickmouth, MO 24075"
hh_098,mbr_113,1,"18420 Johnson Tunnel, East Wendy, OH 47657"
hh_150,mbr_115,1,"89573 Sarah Branch, Jeremyberg, AZ 63953"
hh_124,mbr_119,1,"3473 Patricia Groves Suite 905, Lake Deannatown, OR 50604"
hh_116,mbr_124,1,"746 Zachary Mills, West Yolandaport, OH 84876"
hh_160,mbr_126,1,"0591 Charles Parkways, East James, VI 56159"
hh_152,mbr_130,1,"44491 Kim Point Apt. 377, East Theresa, ID 65585"
hh_103,mbr_131,1,"4523 Nicholas Mill Apt. 467, Shanechester, IA 67706"
hh_166,mbr_133,1,"5602 Campbell Corner Suite 447, Lauriebury, ME 25403"
hh_092,mbr_141,1,"6671 Logan Hills Apt. 151, Dannyfort, WY 97584"
hh_168,mbr_142,1,"PSC 2122, Box 6070, APO AA 80593"
hh_141,mbr_149,1,"12769 Lauren Centers Apt. 353, Nicholashaven, AL 04903"
hh_161,mbr_150,1,"USNS Burgess, FPO AE 30823"
hh_117,mbr_154,1,"USCGC Hensley, FPO AA 36173"
hh_113,mbr_159,1,"12928 Margaret Course, Nicoleberg, MD 52327"
hh_138,mbr_161,1,"758 Chelsea Mission Apt. 289, Lake Destinystad, IL 32469"
hh_107,mbr_164,1,"404 Harper Overpass, Scotthaven, WY 60004"
hh_145,mbr_166,1,"6178 Juarez Mount Suite 422, Braunhaven, DC 65793"
hh_169,mbr_168,1,"7034 Wright Keys, Deborahburgh, OK 66730"
hh_112,mbr_177,1,"4783 Greer Squares Suite 257, North Carla, NH 28384"
hh_163,mbr_179,1,"3252 Wood Views, South Davidburgh, MS 63780"
hh_158,mbr_181,1,"88296 Turner Trail, Hoffmanton, MH 76173"
hh_097,mbr_183,1,"010 Moore Parkway, Heidiside, ID 37689"
hh_151,mbr_186,1,"1416 Hendrix Way, Carterberg, WV 75921"
hh_157,mbr_189,1,"PSC 4023, Box 6345, APO AP 18713"
hh_139,mbr_190,1,"4608 Jerry Villages, Lake Yeseniaburgh, PR 24678"
hh_110,mbr_192,1,"550 James Forges Suite 717, West Kristen, MA 49361"
hh_129,mbr_202,1,"45619 Kelli Springs, Cartermouth, AL 23229"
hh_172,mbr_207,1,"356 Kenneth Avenue, Parsonstown, OH 71476"
hh_143,mbr_208,1,"6747 Susan Field, East Coleview, IN 43135"
hh_096,mbr_210,1,"9120 Jacobs Mall Apt. 881, Barrettshire, MS 83761"
hh_104,mbr_213,1,"8423 Nicholas Run, Perezfurt, CO 11633"
hh_162,mbr_216,1,"3030 Frederick Union, Keithville, MI 37890"
hh_148,mbr_219,1,"888 Weeks Fields Apt. 725, Alexandermouth, WA 91508"
