Member #,Member Number,Given Name,Surname,Email,Phone #,Birthday,Sex,Membership Type,Status,Date Joined,Date Resigned,Household ID,Annual Fee,Current Balance,Handicap #,Mailings
mbr_001,1,Michael,Preston,michael.preston@outlook.com,(520) 555-3131,1956-12-14,F,FG,active,2019-10-26,,hh_001,18000,320,3110500,1
mbr_002,2,Charles,Worthington,charles.worthington@aol.com,(602) 555-8730,1988-05-26,M,FG,active,2020-04-23,,hh_001,18000,498,,1
mbr_003,3,Paul,Reyes,paul.reyes@outlook.com,(602) 555-2187,1965-03-10,F,FG,active,2019-03-10,,hh_002,18000,2899,,1
mbr_004,4,Timothy,Yamamoto,timothy.yamamoto@gmail.com,(520) 555-4554,1997-08-22,M,SPT,active,2021-09-07,,hh_002,12000,1800,,1
mbr_006,6,Scott,Davis,scott.davis@aol.com,(602) 555-3521,1950-06-18,M,SPT,active,2021-02-19,,hh_003,12000,-400,8866000,1
mbr_008,8,Jennifer,Murphy,jennifer.murphy@aol.com,(623) 555-2645,1958-04-13,M,SOC,active,2022-07-20,,hh_004,6000,2179,,1
mbr_009,9,Karen,Russo,karen.russo@aol.com,(623) 555-5045,1991-09-25,F,NR,active,2020-01-17,,hh_005,15000,1080,5119300,1
mbr_014,14,Rachel,Henderson,rachel.henderson@gmail.com,(520) 555-5593,1964-10-10,M,FG,active,2020-10-28,,hh_007,18000,359,,1
mbr_016,16,Rafael,Abbott,rafael.abbott@yahoo.com,(602) 555-1227,1973-09-06,M,LEG,active,2020-11-12,,hh_008,22000,1661,8093800,1
mbr_017,17,Elena,Lawson,elena.lawson@gmail.com,(520) 555-6927,1949-06-18,F,FG,active,2022-10-26,,hh_009,18000,561,3844900,1
mbr_019,19,Xiu,Hampton,xiu.hampton@yahoo.com,(602) 555-2751,1958-04-14,M,FG,active,2023-03-10,,hh_010,18000,-361,,1
mbr_021,21,Vikram,Flynn,vikram.flynn@icloud.com,(520) 555-1718,1966-02-09,M,FG,active,2023-08-22,,hh_011,18000,941,,1
mbr_023,23,Aaliyah,Bishop,aaliyah.bishop@outlook.com,(623) 555-9842,1975-01-05,M,NR,active,2020-08-06,,hh_012,15000,2243,,1
mbr_025,25,Mia,Avery,mia.avery@icloud.com,(623) 555-5598,1963-11-11,M,FG,active,2021-01-17,,hh_013,18000,1320,,1
mbr_026,26,Victoria,Love,victoria.love@outlook.com,(623) 555-7965,1995-04-23,F,JR,active,2023-12-04,,hh_013,8000,221,7321600,1
mbr_028,28,Hannah,Mitchell,hannah.mitchell@aol.com,(520) 555-7032,1948-02-18,F,FG,active,2023-05-16,,hh_014,18000,1522,7823800,1
mbr_030,30,Jamal,Flores,jamal.flores@outlook.com,(602) 555-6056,1957-12-14,F,FG,active,2023-06-28,,hh_015,18000,600,,0
mbr_032,32,Pierre,Mehta,pierre.mehta@outlook.com,(520) 555-1823,1965-03-10,F,FG,active,2016-11-12,,hh_016,18000,1902,8828200,1
mbr_052,52,Lisa,Wade,lisa.wade@outlook.com,(520) 555-9567,1976-12-05,M,NR,active,2017-09-25,,hh_026,15000,2522,,1
mbr_033,33,Monique,Hall,monique.hall@outlook.com,(602) 555-7580,1998-08-22,M,FG,active,2023-10-26,,hh_017,18000,802,1296100,1
mbr_035,35,Natasha,Nilsson,natasha.nilsson@aol.com,(520) 555-3214,1950-06-17,M,FG,active,2023-03-10,,hh_018,18000,-120,1798300,1
mbr_037,37,Matteo,Reed,matteo.reed@aol.com,(480) 555-2371,1959-04-13,M,FG,active,2023-03-22,,hh_019,18000,1182,2300500,1
mbr_039,39,Asami,Prescott,asami.prescott@gmail.com,(623) 555-1338,1947-02-19,F,FG,active,2016-08-06,,hh_020,18000,2483,2802700,1
mbr_041,41,Kavita,Gordon,kavita.gordon@aol.com,(480) 555-6162,1956-12-14,F,SOC,active,2016-02-18,,hh_021,6000,1561,,1
mbr_042,42,Ahmed,Jennings,ahmed.jennings@gmail.com,(623) 555-2829,1988-05-26,M,FG,active,2023-12-04,,hh_021,18000,462,,1
mbr_043,43,Nadia,Vaughn,nadia.vaughn@gmail.com,(602) 555-5228,1965-10-10,F,FG,active,2017-07-01,,hh_022,18000,2863,9523900,0
mbr_061,61,Hao,Moore,hao.moore@outlook.com,(602) 555-4816,1966-02-09,M,LEG,active,2018-12-03,,hh_031,22000,904,1760500,0
mbr_063,63,Ren,Gallagher,ren.gallagher@aol.com,(602) 555-9573,1975-01-05,M,FG,active,2018-05-15,,hh_032,18000,-18,,1
mbr_065,65,Amara,Butler,amara.butler@outlook.com,(480) 555-8697,1983-11-01,M,FG,active,2018-10-27,,hh_033,18000,1284,,1
mbr_066,66,Darius,Carmichael,darius.carmichael@aol.com,(623) 555-2096,1960-04-13,F,SOC,active,2017-04-13,,hh_033,6000,184,4232800,1
mbr_067,67,Mason,Griffin,mason.griffin@aol.com,(623) 555-7663,1972-09-07,M,FG,active,2019-10-10,,hh_034,18000,2586,,0
mbr_069,69,Riley,Fletcher,riley.fletcher@gmail.com,(480) 555-3487,1980-07-02,M,SOC,active,2019-03-22,,hh_035,6000,1663,,1
mbr_070,70,Eli,Shaw,eli.shaw@aol.com,(623) 555-9187,1957-12-14,F,FG,active,2018-02-09,,hh_035,18000,564,5237200,1
mbr_071,71,Natalie,Forrest,natalie.forrest@yahoo.com,(480) 555-2554,1989-05-26,M,FG,active,2017-09-06,,hh_036,18000,2965,9988300,1
mbr_073,73,DeShawn,Bradford,deshawn.bradford@gmail.com,(623) 555-1521,1998-03-22,M,FG,active,2017-02-08,,hh_037,18000,2043,1490500,0
mbr_074,74,Curtis,Monroe,curtis.monroe@yahoo.com,(602) 555-3978,1974-01-05,F,FG,active,2019-08-05,,hh_037,18000,943,,0
